region,distance
Abidjan,435860
Gbokle,462565
Nawa,398402
San-Pedro,497054
Indenie-Djuablin,235608
Sud Comoe,351809
Folon,0
Kabadougou,22642
Goh,343460
Loh-Djiboua,382212
Belier,226364
Iffou,174449
Moronou,288923
Nzi,235966
Agneby-Tiassa,366188
Grands Ponts,422537
La Me,320907
Cavally,354354
Guemon,269782
Tonkpi,225861
Haut-Sassandra,260452
Marahoue,241387
Bagoue,0
Poro,0
Tchologo,0
Gbeke,174775
Hambol,52608
Bafing,120930
Bere,111412
Worodougou,120760
Yamoussoukro,291490
Bounkani,0
Gontougo,70437
